x,y,z,p0,p1
-2.150208e-02,-5.601483e-02,2.777778e-03,1.000000e+00,-9.335804e-01
-2.440420e-02,-5.481273e-02,5.555556e-03,1.000000e+00,-9.135455e-01
-1.552914e-02,-5.795555e-02,1.515928e-17,1.000000e+00,-9.659258e-01
-1.247470e-02,-5.868886e-02,1.456208e-17,1.000000e+00,-9.781476e-01
-1.552914e-02,-5.795555e-02,5.555556e-03,1.000000e+00,-9.659258e-01
-1.552914e-02,-5.795555e-02,2.777778e-03,1.000000e+00,-9.659258e-01
-1.400672e-02,-5.834220e-02,2.777778e-03,1.000000e+00,-9.723699e-01
-1.400672e-02,-5.834220e-02,1.486577e-17,1.000000e+00,-9.723699e-01
-9.386068e-03,-5.926130e-02,1.392497e-17,1.000000e+00,-9.876883e-01
-9.386068e-03,-5.926130e-02,5.555556e-03,1.000000e+00,-9.876883e-01
-1.093413e-02,-5.899529e-02,1.424841e-17,1.000000e+00,-9.832549e-01
-1.093413e-02,-5.899529e-02,2.777778e-03,1.000000e+00,-9.832549e-01
-9.386068e-03,-5.926130e-02,2.777778e-03,1.000000e+00,-9.876883e-01
-1.247470e-02,-5.868886e-02,5.555556e-03,1.000000e+00,-9.781476e-01
-3.140157e-03,-5.991777e-02,1.400167e-17,1.000000e+00,-9.986295e-01
1.746050e-17,-6.000000e-02,1.332268e-17,1.000000e+00,-1.000000e+00
-3.140157e-03,-5.991777e-02,5.555556e-03,1.000000e+00,-9.986295e-01
-3.140157e-03,-5.991777e-02,2.777778e-03,1.000000e+00,-9.986295e-01
-1.570617e-03,-5.997944e-02,2.777778e-03,1.000000e+00,-9.996573e-01
-1.570617e-03,-5.997944e-02,1.366686e-17,1.000000e+00,-9.996573e-01
3.140157e-03,-5.991777e-02,1.260716e-17,1.000000e+00,-9.986295e-01
3.140157e-03,-5.991777e-02,5.555556e-03,1.000000e+00,-9.986295e-01
1.570617e-03,-5.997944e-02,2.777778e-03,1.000000e+00,-9.996573e-01
3.140157e-03,-5.991777e-02,2.777778e-03,1.000000e+00,-9.986295e-01
1.570617e-03,-5.997944e-02,1.296936e-17,1.000000e+00,-9.996573e-01
-1.692900e-21,-6.000000e-02,5.555556e-03,1.000000e+00,-1.000000e+00
9.386068e-03,-5.926130e-02,1.253810e-17,1.000000e+00,-9.876883e-01
1.247470e-02,-5.868886e-02,1.179214e-17,1.000000e+00,-9.781476e-01
9.386068e-03,-5.926130e-02,5.555556e-03,1.000000e+00,-9.876883e-01
9.386068e-03,-5.926130e-02,2.777778e-03,1.000000e+00,-9.876883e-01
1.093413e-02,-5.899529e-02,2.777778e-03,1.000000e+00,-9.832549e-01
1.093413e-02,-5.899529e-02,1.216929e-17,1.000000e+00,-9.832549e-01
1.552914e-02,-5.795555e-02,1.101386e-17,1.000000e+00,-9.659258e-01
1.552914e-02,-5.795555e-02,5.555556e-03,1.000000e+00,-9.659258e-01
1.400672e-02,-5.834220e-02,1.140691e-17,1.000000e+00,-9.723699e-01
1.400672e-02,-5.834220e-02,2.777778e-03,1.000000e+00,-9.723699e-01
1.552914e-02,-5.795555e-02,2.777778e-03,1.000000e+00,-9.659258e-01
