x,y,z,real,imag
1.2772608947753905e-01,1.1478031921386719e-01,-1.6452671813964845e-01,1.8785836052724156e+00,2.1449623799833724e+00
1.2146028137207031e-01,1.1567868804931640e-01,-1.5920487976074219e-01,1.8466241283565257e+00,2.2793879856602155e+00
5.2898777008056640e-02,-3.8258686065673828e-02,-1.1540493011474609e-01,2.1393231879322394e-01,-4.2345334877688412e-01
5.9485939025878905e-02,-3.5400836944580079e-02,-1.1539569091796875e-01,2.1538366427309674e-01,-5.5462659887110388e-01
5.4348773956298828e-02,-3.0110881805419921e-02,-1.1540399932861328e-01,2.5644504334144014e-01,-2.8895322454284722e-01
5.4791347503662109e-02,9.1180618286132817e-02,-2.0086679077148437e-01,2.0234575325055610e+00,3.8187875929440063e-02
5.1061901092529297e-02,8.5437667846679693e-02,-2.0023234558105468e-01,2.0006695158907153e+00,-1.1278274317503478e-01
4.6685466766357424e-02,9.2607070922851559e-02,-2.0036972045898438e-01,2.0567056306090019e+00,2.5754434334566922e-01
-7.6986236572265623e-02,-4.3839973449707033e-02,-1.1903099822998046e-01,4.9617116864655764e-01,2.2440205027643660e+00
-7.0417922973632807e-02,-4.6597526550292971e-02,-1.1579792785644531e-01,4.6133281084888478e-01,2.0907582886974421e+00
-7.2943572998046879e-02,-3.8109928131103518e-02,-1.1557376861572266e-01,5.2151309265287082e-01,2.2918090582481865e+00
1.2630434417724609e-01,1.1923547363281251e-01,-1.6916355895996094e-01,1.9296561665153624e+00,2.0984042914839121e+00
1.2578089904785156e-01,1.2253974151611328e-01,-1.7587338256835938e-01,1.9753983772936148e+00,1.9800864220876533e+00
1.2071765899658203e-01,1.2493522644042969e-01,-1.6959558105468750e-01,1.9507100840276768e+00,2.1581029141482708e+00
9.0644256591796882e-02,-1.7814341783523560e-03,-1.2167435455322266e-01,3.2767361995148525e-01,-7.9529659221031213e-01
9.0933807373046877e-02,5.4852523803710935e-03,-1.2417083740234375e-01,3.7392788038473113e-01,-6.3216657256982267e-01
8.8125114440917973e-02,3.7687208652496338e-03,-1.1665762329101563e-01,3.8330538801502800e-01,-4.4503148097992584e-01
1.1940332794189454e-01,1.2853860473632814e-01,-1.8879811096191407e-01,2.0499770239211754e+00,1.7654503264847397e+00
1.1663659667968750e-01,1.2854217529296874e-01,-1.9570266723632812e-01,2.0714970676004087e+00,1.6006861962475920e+00
1.1335515594482422e-01,1.3297744750976562e-01,-1.8984413146972656e-01,2.0671242902051050e+00,1.8186051735322253e+00
-1.2907289123535157e-01,-2.6021684646606445e-02,-1.4841981506347657e-01,7.8111563569068165e-01,3.1485050207152074e+00
-1.2173688507080078e-01,-2.8582500457763671e-02,-1.4683634948730467e-01,7.4150067715619739e-01,3.0605190536801068e+00
-1.2248328399658204e-01,-2.1048011779785155e-02,-1.4685437011718749e-01,7.9699501913209780e-01,3.2053703454376166e+00
-1.5080912780761718e-01,-7.2025160789489749e-03,-1.6856208801269532e-01,9.9034977131515245e-01,3.5066771274770079e+00
-1.4862649536132813e-01,-1.3851167678833008e-02,-1.6507295227050781e-01,9.3312161768701862e-01,3.4061725157119804e+00
-1.4829208374023437e-01,-7.3109416961669926e-03,-1.6238533020019530e-01,9.7503945254575619e-01,3.5124909103298525e+00
-9.0869331359863276e-02,-3.0290552139282226e-02,-1.4323417663574220e-01,6.3508955846774939e-01,2.7666422900444267e+00
-8.5423561096191411e-02,-3.3255722045898439e-02,-1.3863406372070314e-01,5.9378646409057412e-01,2.6316685610579187e+00
-8.9221923828124994e-02,-2.5686258316040038e-02,-1.3763908386230470e-01,6.6149261987044272e-01,2.8319217205477880e+00
8.8128784179687503e-02,-1.6561058044433592e-02,-1.1852082061767578e-01,2.5347290976197778e-01,-1.0340366220137194e+00
8.9727622985839847e-02,-8.8958520889282234e-03,-1.1906071472167969e-01,2.9101808187229161e-01,-9.0856550876931763e-01
8.2746116638183598e-02,-1.0562649726867676e-02,-1.1533074951171875e-01,3.0400878192872005e-01,-6.7944996342701147e-01
-1.1398527526855469e-01,-3.0114507675170897e-02,-1.4667201232910157e-01,7.0747566783081850e-01,2.9787199742304762e+00
-1.0600963592529297e-01,-2.9866138458251954e-02,-1.4700048828125001e-01,6.8520461284795553e-01,2.9211676183789255e+00
-1.1001580047607422e-01,-2.3015724182128907e-02,-1.4676768493652342e-01,7.4720238762382252e-01,3.0890412471983106e+00
-3.1396030426025394e-02,8.8260269165039068e-02,-1.9957412719726564e-01,2.1641241073345485e+00,2.5152198134195460e+00
-3.9191570281982419e-02,8.8836708068847650e-02,-1.9788052368164064e-01,2.1468870259800159e+00,2.7388120099765341e+00
-3.4486438751220705e-02,9.5622459411621091e-02,-1.9872697448730470e-01,2.1675363749988117e+00,2.6569165466515292e+00
-1.0003384399414063e-01,6.9570724487304683e-02,-2.0745811462402344e-01,1.8104651296349175e+00,3.8515217437868734e+00
-1.0651401519775390e-01,6.5844009399414066e-02,-2.0740249633789062e-01,1.7578856719658449e+00,3.9062928194309068e+00
-1.0634102630615234e-01,7.3783576965332026e-02,-2.0770858764648437e-01,1.7992515412473948e+00,3.9336312174961545e+00
8.4025955200195315e-03,8.6740432739257814e-02,-2.0796528625488281e-01,2.1419602919434442e+00,1.0787885145785374e+00
4.6432763338088989e-04,8.7122795104980472e-02,-2.0879254150390625e-01,2.1584333803100613e+00,1.3531123745257487e+00
5.0707063674926755e-03,9.0491073608398434e-02,-2.0284219360351563e-01,2.1641496929528170e+00,1.3420595753616860e+00
-6.2463672637939456e-02,-4.7069770812988285e-02,-1.1523342895507813e-01,4.3626178884717037e-01,1.9563025026114891e+00
-5.4469608306884763e-02,-4.6819286346435549e-02,-1.1522620391845703e-01,4.1632306683305542e-01,1.8293970445624472e+00
-5.7765510559082030e-02,-3.9675727844238284e-02,-1.1526378631591797e-01,4.6990560426661487e-01,2.0243766220013439e+00
-1.5228335571289062e-01,1.3409476280212402e-02,-1.7978312683105468e-01,1.1678578199013641e+00,3.7657453398530030e+00
-1.5256578063964843e-01,6.3726773262023926e-03,-1.7601396179199219e-01,1.1070359696802674e+00,3.6851834198938267e+00
-1.5238912963867188e-01,1.3404064178466797e-02,-1.7205088806152344e-01,1.1490605700154877e+00,3.7860502657786066e+00
4.5599533081054688e-02,8.1470611572265622e-02,-2.0248002624511718e-01,1.9934686586973620e+00,-1.6104360381257599e-01
3.9899711608886716e-02,7.9292564392089843e-02,-2.0673220825195313e-01,1.9967586399368227e+00,-1.4104127057419658e-01
3.8622112274169923e-02,8.4352149963378906e-02,-2.0127734375000000e-01,2.0409092597203671e+00,1.4648463677323709e-01
6.5143119812011721e-02,-3.0295078277587890e-02,-1.1536741638183594e-01,2.3071653647970403e-01,-6.1350628116125061e-01
7.2876449584960937e-02,-3.0367116928100586e-02,-1.1522489929199219e-01,2.1574621188972931e-01,-8.4138988688211303e-01
6.8355201721191403e-02,-2.4661939620971681e-02,-1.1534150695800781e-01,2.5612315709532985e-01,-5.7227262557883507e-01
-1.4554161071777344e-02,-4.6238311767578123e-02,-1.1540454101562500e-01,3.1996336472236142e-01,1.0835069067782648e+00
-6.6006646156311034e-03,-4.6246372222900393e-02,-1.1540222930908203e-01,3.0115226686225549e-01,9.1207564367993577e-01
-1.0635866165161132e-02,-3.9242073059082033e-02,-1.1540090942382812e-01,3.5348739402117735e-01,1.1420631043580411e+00
